CustomerID,Probability of Churning
0220-EBGCE,0.66
7314-OXENN,0.66
9840-EFJQB,0.659
3006-XIMLN,0.658
9317-WZPGV,0.657
2761-OCIAX,0.656
1618-CFHME,0.656
5318-IXUZF,0.656
0812-WUPTB,0.656
1304-NECVQ,0.655
2516-VQRRV,0.654
3295-YVUSR,0.654
5583-SXDAG,0.654
2074-GKOWZ,0.653
9057-SIHCH,0.653
4529-CKBCL,0.653
9689-PTNPG,0.653
3519-ZKXGG,0.653
3049-SOLAY,0.652
1374-DMZUI,0.652
8593-WHYHV,0.652
4342-HENTK,0.652
8258-GSTJK,0.651
7576-OYWBN,0.651
5804-LEPIM,0.651
9717-QEBGU,0.65
6161-UUUTA,0.65
4927-WWOOZ,0.65
3721-CNEYS,0.65
1678-FYZOW,0.649
8943-URTMR,0.649
8098-LLAZX,0.649
9837-BMCLM,0.649
8443-ZRDBZ,0.648
6856-RAURS,0.648
2856-HYAPG,0.648
4806-KEXQR,0.647
3489-HHPFY,0.647
9897-KXHCM,0.647
4210-QFJMF,0.647
8835-VSDSE,0.646
4548-SDBKE,0.646
6275-YDUVO,0.645
1724-BQUHA,0.645
4581-SSPWD,0.645
3422-GALYP,0.645
7394-LWLYN,0.644
4952-YSOGZ,0.644
3097-NQYSN,0.644
0697-ZMSWS,0.644
9944-HKVVB,0.643
6350-XFYGW,0.643
6892-EZDTG,0.643
5567-WSELE,0.643
6772-KSATR,0.643
7903-CMPEY,0.642
2880-FPNAE,0.642
2612-RRIDN,0.642
4585-HETAI,0.642
7341-LXCAF,0.641
7228-OMTPN,0.641
2789-HQBOU,0.64
4750-ZRXIU,0.639
1285-OKIPP,0.639
7181-BQYBV,0.639
1197-BVMVG,0.638
9681-OXGVC,0.638
5644-PDMZC,0.638
4770-UEZOX,0.638
4951-UKAAQ,0.637
0390-DCFDQ,0.637
4192-GORJT,0.637
6221-AVQYL,0.637
4273-MBHYA,0.637
0722-TROQR,0.637
6108-OQZDQ,0.636
7321-VGNKU,0.636
1084-UQCHV,0.636
9747-DDZOS,0.635
5835-BEQEU,0.635
2983-ZANRP,0.635
9306-CPCBC,0.635
4086-YQSNZ,0.635
9231-ZJYAM,0.635
4749-OJKQU,0.635
4228-ZGYUW,0.634
6407-UTSLV,0.634
8413-VONUO,0.634
1400-MMYXY,0.634
5349-IECLD,0.634
4501-EQDRN,0.634
8739-XNIKG,0.634
3318-NMQXL,0.633
2737-YNGYW,0.633
7563-BIUPC,0.632
8752-STIVR,0.632
6941-PMGEP,0.632
6357-JJPQT,0.632
2865-TCHJW,0.632
2897-DOVND,0.632
2959-MJHIC,0.632
7488-MXJIV,0.631
1320-HTRDR,0.631
3319-DWOEP,0.631
8183-ONMXC,0.63
8361-LTMKD,0.63
4482-EWFMI,0.63
1980-KXVPM,0.63
2919-HBCJO,0.629
9134-CEQMF,0.629
4929-XIHVW,0.629
3198-VELRD,0.629
4847-TAJYI,0.628
6630-UJZMY,0.628
1273-MTETI,0.628
6877-TJMBR,0.627
5276-KQWHG,0.627
8161-QYMTT,0.627
7198-GLXTC,0.627
7074-IEVOJ,0.627
4140-MUHUG,0.626
2656-TABEH,0.626
8414-MYSHR,0.626
3462-BJQQA,0.626
5052-PNLOS,0.626
6496-SLWHQ,0.626
8779-QRDMV,0.626
5561-NWEVX,0.626
7330-WZLNC,0.625
2990-HWIML,0.625
6424-ELEYH,0.624
2276-YDAVZ,0.624
9611-CTWIH,0.624
2800-VEQXM,0.624
2905-KFQUV,0.623
8357-EQXFO,0.623
3411-WLRSQ,0.623
6077-BDPXA,0.623
2462-XIIJB,0.623
4450-DLLMH,0.623
4143-OOBWZ,0.622
0334-GDDSO,0.622
0781-LKXBR,0.622
0702-PGIBZ,0.621
9696-RMYBA,0.621
1746-TGTWV,0.621
8884-ADFVN,0.621
7598-UAASY,0.621
7548-SEPYI,0.62
6229-LSCKB,0.62
7943-RQCHR,0.62
9799-CAYJJ,0.62
1624-NALOJ,0.62
2012-NWRPA,0.62
2968-SSGAA,0.62
5380-AFSSK,0.619
0187-QSXOE,0.619
2018-QKYGT,0.619
4090-KPJIP,0.619
5095-AESKG,0.619
0004-TLHLJ,0.619
2080-GKCWQ,0.617
9850-OWRHQ,0.617
4822-RVYBB,0.617
2077-MPJQO,0.617
6015-VVHHE,0.617
2674-MIAHT,0.617
0644-OQMDK,0.617
4626-GYCZP,0.617
1567-DSCIC,0.617
7044-YAACC,0.617
3063-QFSZL,0.617
2446-BEGGB,0.617
3583-EKAPL,0.617
6168-WFVVF,0.617
5909-ECHUI,0.617
6969-MVBAI,0.616
5956-VKDTT,0.616
2982-VPSGI,0.616
8972-HJWNV,0.616
5445-UTODQ,0.615
1389-CXMLU,0.615
4078-SAYYN,0.615
4795-KTRTH,0.614
0685-MLYYM,0.614
6979-ZNSFF,0.614
1569-TTNYJ,0.614
6629-CZTTH,0.614
8780-IXSTS,0.614
4074-SJFFA,0.614
9633-XQABV,0.614
5501-TVMGM,0.614
2929-ERCFZ,0.614
2645-QTLMB,0.614
7379-POKDZ,0.613
6861-XWTWQ,0.613
3389-YGYAI,0.613
1173-XZPYF,0.613
9451-LPGOO,0.613
1925-TIBLE,0.613
8111-RKSPX,0.612
8083-YTZES,0.612
0231-LXVAP,0.612
8242-SOQUO,0.612
6110-OHIHY,0.611
2379-ENZGV,0.611
6437-UKHMV,0.611
1455-UGQVH,0.611
6060-DRTNL,0.611
2055-PDADH,0.611
2984-AFWNC,0.611
2952-QAYZF,0.61
5399-ZIMKF,0.61
7932-WPTDS,0.61
6390-DSAZX,0.61
1740-CSDJP,0.61
2260-USTRB,0.61
3249-ZPQRG,0.61
7209-JCUDS,0.609
9274-CNFMO,0.609
4145-UQXUQ,0.609
0325-XBFAC,0.609
3370-HXOPH,0.609
2215-ZAFGX,0.609
0023-HGHWL,0.609
1768-ZAIFU,0.609
1602-IJQQE,0.608
9050-IKDZA,0.608
9965-YOKZB,0.608
4587-VVTOX,0.608
3811-VBYBZ,0.608
2123-AGEEN,0.608
1184-PJVDB,0.608
0897-FEGMU,0.608
8622-ZLFKO,0.608
3045-XETSH,0.608
5119-NZPTV,0.607
6688-UZPWD,0.607
6711-FLDFB,0.607
0840-DFEZH,0.607
4285-GYRQC,0.607
5299-SJCZT,0.607
7526-BEZQB,0.607
4229-CZMLL,0.607
7538-GWHML,0.606
8058-JMEQO,0.606
4629-NRXKX,0.606
0195-IESCP,0.606
7398-SKNQZ,0.606
2984-MIIZL,0.606
5570-PTWEH,0.606
3776-EKTKM,0.605
1704-NRWYE,0.605
8931-GJJIQ,0.605
0925-VYDLG,0.605
0661-XEYAN,0.605
1496-GGSUK,0.605
5419-CONWX,0.605
3677-IYRBF,0.605
1122-JWTJW,0.605
2868-SNELZ,0.604
2691-NZETQ,0.604
8992-JQYUN,0.604
7354-OIJLX,0.604
0674-EYYZV,0.604
8699-ASUFO,0.603
3091-FYHKI,0.603
3398-FSHON,0.603
2468-SJFLM,0.603
3877-JRJIP,0.603
5868-YWPDW,0.603
5442-BHQNG,0.603
9822-OAOVB,0.603
7767-UXAGJ,0.602
4395-PZMSN,0.602
7363-QTBIW,0.602
7245-NIIWQ,0.602
3420-YJLQT,0.602
6376-GAHQE,0.602
3138-BKYAV,0.602
5685-IIXLY,0.602
5288-AHOUP,0.602
8337-UPOAQ,0.602
8185-UPYBR,0.601
0564-JJHGS,0.601
1579-KLYDT,0.601
8225-BTJAU,0.601
7779-LGOVN,0.601
8325-QRPZR,0.601
3727-RJMEO,0.601
3518-PZXZQ,0.601
7571-YXDAD,0.601
2688-BHGOG,0.601
4929-BSTRX,0.6
8065-YKXKD,0.6
0880-TKATG,0.6
5673-FSSMF,0.6
0841-NULXI,0.6
7130-VTEWQ,0.6
4512-ZUIYL,0.6
8087-LGYHQ,0.6
5729-KLZAR,0.6
4282-YMKNA,0.6
4351-QLCSU,0.6
2454-RPBRZ,0.6
5928-QLDHB,0.599
1024-VRZHF,0.599
3387-VATUS,0.599
7625-XCQRH,0.599
1867-BDVFH,0.599
7450-NWRTR,0.599
4029-HPFVY,0.599
0122-OAHPZ,0.598
3488-PGMQJ,0.598
2642-DTVCO,0.598
4854-CIDCF,0.598
0196-VULGZ,0.598
3834-XUIFC,0.598
5832-XKAES,0.598
6260-ONULR,0.598
2135-DQWAQ,0.598
1960-UYCNN,0.598
8382-SHQEH,0.598
8642-GVWRF,0.598
4633-MKHYU,0.597
7858-GTZSP,0.597
1564-NTYXF,0.597
8617-ENBDS,0.597
7613-LLQFO,0.597
9061-TIHDA,0.597
0219-YTZUE,0.596
3074-GQWYX,0.596
7823-JSOAG,0.596
4112-LUEIZ,0.596
6734-GMPVK,0.595
4115-NZRKS,0.594
0923-PNFUB,0.594
2485-ITVKB,0.594
7156-MHUGY,0.594
7005-CCBKV,0.594
5889-LFOLL,0.593
0872-NXJYS,0.593
9565-DJPIB,0.593
4884-ZTHVF,0.593
0822-GAVAP,0.593
1965-AKTSX,0.593
5047-LHVLY,0.593
0011-IGKFF,0.593
2737-WFVYW,0.593
5949-XIKAE,0.593
7786-WBJYI,0.593
7638-QVMVY,0.592
3717-OEAUQ,0.592
5442-UTCVD,0.592
2205-YMZZJ,0.592
0689-NKYLF,0.592
7218-HKQFK,0.592
9334-GWGOW,0.592
5028-GZLDO,0.591
9095-HFAFX,0.591
2026-TGDHM,0.591
8263-JQAIK,0.591
0258-NOKBL,0.591
9957-YODKZ,0.591
2672-HUYVI,0.591
6918-UMQCG,0.59
5429-LWCMV,0.59
3902-FOIGH,0.59
0225-ZORZP,0.59
1024-GUALD,0.59
3797-VTIDR,0.59
0375-HVGXO,0.589
9290-SHCMB,0.589
3754-DXMRT,0.589
4816-JBHOV,0.589
3966-HRMZA,0.589
0345-HKJVM,0.589
6608-QQLVK,0.589
6326-MTTXK,0.589
2660-EMUBI,0.589
2272-QAGFO,0.588
7508-MYBOG,0.588
8714-CTZJW,0.588
9250-WYPLL,0.588
8676-TRMJS,0.588
3643-AHCFP,0.588
4566-NECEV,0.587
6860-YRJZP,0.587
3334-CTHOL,0.587
7568-PODML,0.587
3317-VLGQT,0.586
8280-MQRQN,0.586
1334-FJSVR,0.586
1941-HOSAM,0.586
7365-BVCJH,0.586
0404-SWRVG,0.586
9391-EOYLI,0.586
8937-RDTHP,0.586
4983-CCWMC,0.585
9136-ALYBR,0.585
7537-RBWEA,0.585
2672-DZUOY,0.585
2369-UAPKZ,0.585
5378-IKEEG,0.585
4847-QNOKA,0.585
8132-YPVBX,0.585
6032-IGALN,0.585
2038-OEQZH,0.585
6000-APYLU,0.585
7249-WBIYX,0.584
1075-BGWOH,0.584
2815-CPTUL,0.584
5652-MSDEY,0.584
2799-ARNLO,0.584
0746-JTRFU,0.584
9685-WKZGT,0.584
2027-FECZV,0.583
6198-ZFIOJ,0.583
1465-VINDH,0.582
6650-VJONK,0.582
3926-CUQZX,0.582
6347-DCUIK,0.582
9237-HQITU,0.582
7394-FKDNK,0.582
8356-WUAOJ,0.582
9828-AOQLM,0.582
1428-GTBJJ,0.582
4367-NHWMM,0.582
9025-AOMKI,0.582
2386-LAHRK,0.581
8107-KNCIM,0.581
1219-NNDDO,0.581
7938-OUHIO,0.581
4822-NGOCH,0.581
1450-GALXR,0.581
2754-VDLTR,0.58
1475-VWVDO,0.58
6689-TCZHQ,0.58
0432-CAJZV,0.58
8180-AKMJV,0.58
2740-TVLFN,0.58
6959-UWKHF,0.58
0248-IPDFW,0.58
8541-QVFKM,0.58
2180-DXNEG,0.58
3750-CKVKH,0.579
6702-OHFWR,0.579
7442-YGZFK,0.579
9840-DVNDC,0.579
3420-ZDBMA,0.579
3165-HDOEW,0.579
0581-BXBUB,0.579
4445-ZJNMU,0.578
4060-LDNLU,0.578
5899-MQZZL,0.578
2082-CEFLT,0.578
7760-OYPDY,0.578
5383-MMTWC,0.578
0947-IDHRQ,0.578
8348-HFYIV,0.578
4763-PGDPO,0.578
4855-SNKMY,0.578
0727-IWKVK,0.578
1660-HSOOQ,0.578
5348-CAGXB,0.578
8010-EZLOU,0.577
0506-LVNGN,0.577
3606-TWKGI,0.577
5519-NPHVG,0.577
3496-LFSZU,0.577
7590-VHVEG,0.577
6339-YPSAH,0.577
4749-VFKVB,0.577
2058-DCJBE,0.577
5976-JCJRH,0.576
6210-KBBPI,0.576
6101-IMRMM,0.576
3793-MMFUH,0.576
9947-OTFQU,0.576
4631-OACRM,0.576
8245-UMPYT,0.576
3030-YDNRM,0.576
3199-XGZCY,0.576
0655-RBDUG,0.576
6595-COKXZ,0.575
3315-TOTBP,0.575
9117-SHLZX,0.575
5692-FPTAH,0.575
6166-ILMNY,0.575
4373-VVHQL,0.575
7065-YUNRY,0.575
5229-PRWKT,0.575
2568-BRGYX,0.575
1010-DIAUQ,0.575
7663-RGWBC,0.575
4439-JMPMT,0.575
8710-YGLWG,0.575
8705-WZCYL,0.575
5077-DXTCG,0.575
2135-RXIHG,0.575
6128-CZOMY,0.575
9214-EKVXR,0.575
3627-FHKBK,0.574
3186-BAXNB,0.574
1565-RHDJD,0.574
7912-SYRQT,0.574
7479-NITWS,0.574
7517-LDMPS,0.574
0495-ZBNGW,0.574
4919-MOAVT,0.574
4547-KQRTM,0.574
8417-FMLZI,0.574
3247-ZVOUO,0.573
6175-IRFIT,0.573
2920-RNCEZ,0.573
7890-VYYWG,0.573
7234-FECYN,0.573
6127-IYJOZ,0.573
6680-WKXRZ,0.573
5760-IFJOZ,0.573
5868-CZJDR,0.573
4514-GFCFI,0.572
4441-NIHPT,0.572
4301-VVZKA,0.572
5565-FILXA,0.572
4059-IIEBK,0.572
1200-TUZHR,0.572
1195-OIYEJ,0.572
4237-RLAQD,0.572
0224-RLWWD,0.572
9398-MMQTO,0.572
0082-LDZUE,0.572
0887-HJGAR,0.572
8950-MTZNV,0.572
0620-DLSLK,0.572
0928-XUTSN,0.572
2398-YPMUR,0.571
9588-OZDMQ,0.571
7206-PQBBZ,0.571
4817-QRJSX,0.571
3961-SXAXY,0.571
6330-JKLPC,0.57
3916-NRPAP,0.57
9402-ORRAH,0.57
5520-FVEWJ,0.57
0135-NMXAP,0.57
0680-DFNNY,0.57
5569-KGJHX,0.569
4132-KALRO,0.569
5935-FCCNB,0.569
9221-OTIVJ,0.569
4559-UWIHT,0.569
8808-ELEHO,0.569
1907-UBQFC,0.569
3217-FZDMN,0.569
9846-GKXAS,0.569
2876-GZYZC,0.569
2154-KVJFF,0.568
0013-EXCHZ,0.568
3908-BLSYF,0.568
4277-PVRAN,0.568
1508-DFXCU,0.568
0722-SVSFK,0.568
0236-HFWSV,0.568
0302-JOIVN,0.568
4505-EXZHB,0.567
3338-CVVEH,0.567
9638-JIQYA,0.567
9773-PEQBZ,0.567
2608-BHKFN,0.567
5167-GBFRE,0.567
7668-XCFYV,0.567
0023-XUOPT,0.566
3621-CEOVK,0.566
7841-TZDMQ,0.566
6615-NGGZJ,0.566
4317-VTEOA,0.566
5442-XSDCW,0.566
2114-MGINA,0.565
0329-GTIAJ,0.565
2754-XBHTB,0.565
9058-CBREO,0.565
6986-IXNDM,0.565
0709-TVGUR,0.565
1196-AMORA,0.564
4959-JOSRX,0.564
5035-BVCXS,0.564
8844-TONUD,0.563
4671-LXRDQ,0.563
1342-JPNKI,0.563
2482-CZGBB,0.563
7273-TEFQD,0.562
5228-EXCET,0.562
2424-WVHPL,0.562
4572-DVCGN,0.562
8337-MSSXB,0.562
0529-ONKER,0.562
9494-MRNYX,0.561
7994-UYIVZ,0.561
5133-POWUA,0.561
2275-RBYQS,0.561
9185-TQCVP,0.561
5931-FLJJF,0.561
5968-VXZLG,0.56
3223-DWFIO,0.56
9921-ZVRHG,0.56
2845-HSJCY,0.56
9560-ARGQJ,0.56
5480-HPRRX,0.56
6087-MVHJH,0.559
5364-EVNIB,0.559
9625-QSTYE,0.559
2962-XPMCQ,0.559
4291-SHSBH,0.559
9506-UXUSK,0.559
9576-ANLXO,0.558
6496-JDSSB,0.558
8861-HGGKB,0.558
0306-JAELE,0.558
4813-HQMGZ,0.558
3751-KTZEL,0.557
6127-ISGTU,0.557
0330-IVZHA,0.557
7295-JOMMD,0.557
5696-QURRL,0.556
3566-HJGPK,0.556
0612-RTZZA,0.556
2612-RANWT,0.556
4727-MCYZG,0.555
9734-UYXQI,0.555
2103-ZRXFN,0.555
3629-ZNKXA,0.555
5650-VDUDS,0.555
3143-JQEGI,0.554
0940-OUQEC,0.554
6328-ZPBGN,0.554
6993-OHLXR,0.554
7861-UVUFT,0.554
1792-UXAFY,0.554
8873-GLDMH,0.554
7384-GHBPI,0.554
8687-BAFGU,0.554
4706-AXVKM,0.554
0365-BZUWY,0.553
6519-CFDBX,0.553
5879-SESNB,0.553
9172-ANCRX,0.553
3320-VEOYC,0.553
7854-FOKSF,0.552
7901-HXJVA,0.552
9907-SWKKF,0.552
3585-ISXZP,0.551
7503-QQRVF,0.551
3376-BMGFE,0.551
3999-QGRJH,0.551
9408-SSNVZ,0.551
5357-TZHPP,0.551
6366-ZGQGL,0.55
3070-DVEYC,0.55
0616-ATFGB,0.55
4636-QRJKY,0.549
3413-BMNZE,0.549
6705-LXORM,0.549
2397-BRLOM,0.549
3663-MITLP,0.548
5261-QSHQM,0.548
2209-XADXF,0.548
0508-OOLTO,0.548
2959-FENLU,0.548
0958-YHXGP,0.548
3278-FSIXX,0.548
7321-PKUYW,0.548
5712-PTIWW,0.547
1092-GANHU,0.547
8266-VBFQL,0.547
0927-LCSMG,0.546
4290-BSXUX,0.546
6435-SRWBJ,0.546
3841-CONLJ,0.546
8433-WXGNA,0.546
6583-KQJLK,0.546
1866-OBPNR,0.545
1226-IENZN,0.545
4536-PLEQY,0.545
3106-ULWFW,0.545
9102-IAYHT,0.544
0875-CABNR,0.544
6379-RXJRQ,0.544
4503-BDXBD,0.544
9094-AZPHK,0.544
1262-OPMFY,0.544
8080-DDEMJ,0.543
1391-UBDAR,0.543
5027-QPKTE,0.543
2187-PKZAY,0.543
9540-JYROE,0.543
4349-GFQHK,0.543
6906-ANDWJ,0.542
1016-DJTSV,0.542
3473-XIIIT,0.542
8999-BOHSE,0.542
5908-QMGOE,0.542
2081-VEYEH,0.542
0018-NYROU,0.541
4480-QQRHC,0.541
4706-DGAHW,0.54
8270-RKSAP,0.54
4193-ORFCL,0.54
8720-RQSBJ,0.54
3753-TSEMP,0.54
6185-TASNN,0.54
1384-RCUXW,0.54
3755-JBMNH,0.54
3946-MHCZW,0.539
7225-CBZPL,0.539
2232-DMLXU,0.539
0772-GYEQQ,0.539
5482-PLVPE,0.539
1895-QTKDO,0.538
3799-ISUZQ,0.538
2265-CYWIV,0.538
6317-YPKDH,0.538
8519-QJGJD,0.538
3669-OYSJI,0.538
2079-FBMZK,0.538
0570-BFQHT,0.538
9227-LUNBG,0.538
1976-CFOCS,0.537
2842-JTCCU,0.537
4910-AQFFX,0.537
9734-YWGEX,0.537
0378-TOVMS,0.537
4094-NSEDU,0.537
3627-FCRDW,0.536
0928-JMXNP,0.536
3538-WZPHD,0.536
4195-NZGTA,0.536
8443-WVPSS,0.536
6158-HDPXZ,0.535
8260-NGFNY,0.535
5365-LLFYV,0.535
5271-DBYSJ,0.535
3439-GVUSX,0.535
2528-HFYZX,0.535
3440-JPSCL,0.535
8584-KMVXD,0.535
8020-BWHYL,0.535
1112-CUNAO,0.535
3372-KWFBM,0.534
0876-WDUUZ,0.534
0196-JTUQI,0.533
9895-VFOXH,0.533
9448-REEVD,0.532
4815-GBTCD,0.532
5091-HFAZW,0.532
6198-RTPMF,0.532
1513-XNPPH,0.532
6142-VSJQO,0.532
6923-JHPMP,0.532
8510-AWCXC,0.532
6956-SMUCM,0.531
6432-TWQLB,0.531
1942-OQFRW,0.531
4236-XPXAV,0.531
1963-SVUCV,0.531
4484-CGXFK,0.531
9430-FRQOC,0.531
7825-GKXMW,0.531
1612-EOHDH,0.531
8485-GJCDN,0.53
7379-FNIUJ,0.53
1731-TVIUK,0.53
9637-EIHEQ,0.53
5405-ZMYXQ,0.53
9752-ZNQUT,0.529
0315-LVCRK,0.529
6683-VLCTZ,0.529
3329-WDIOK,0.529
4678-DVQEO,0.529
1626-ERCMM,0.529
0871-URUWO,0.529
2495-INZWQ,0.529
2372-HWUHI,0.529
4547-LYTDD,0.528
8875-AKBYH,0.528
9121-PHQSR,0.528
1571-SAVHK,0.528
0388-EOPEX,0.528
6145-NNPNO,0.528
4373-MAVJG,0.528
7252-NTGSS,0.527
1478-VPOAD,0.527
4146-SVFUD,0.527
0415-MOSGF,0.527
9244-ZVAPM,0.527
9274-UARKJ,0.527
5858-EAFCZ,0.527
1268-ASBGA,0.527
3050-GBUSH,0.527
6582-OIVSP,0.527
6982-SSHFK,0.527
5956-YHHRX,0.527
7593-XFKDI,0.527
3191-CSNMG,0.527
9743-DQKQW,0.527
6100-QQHEB,0.526
3097-NNSPB,0.526
1845-ZLLIG,0.526
6215-NQCPY,0.525
5293-WXJAK,0.525
9283-LZQOH,0.525
2754-SDJRD,0.525
3671-SHRSP,0.525
7562-UXTPG,0.525
3085-QUOZK,0.524
7754-IXRMC,0.524
9432-VOFYX,0.524
2833-SLKDQ,0.524
7054-LGEQW,0.524
1728-BQDMA,0.524
0322-CHQRU,0.524
2501-XWWTZ,0.523
9436-ZBZCT,0.523
2592-SEIFQ,0.523
3452-GWUIN,0.523
3733-LSYCE,0.523
3096-IZETN,0.523
3992-YWPKO,0.522
4432-ADRLB,0.522
1501-SGHBW,0.522
7410-YTJIK,0.522
5366-IJEQJ,0.522
4612-SSVHJ,0.522
9620-ENEJV,0.522
9269-CQOOL,0.521
9272-LSVYH,0.521
6719-OXYBR,0.521
4201-JMNGR,0.521
5989-PGKJB,0.521
8650-RHRKE,0.521
